Execution Date,User Story,Test Case ID,LOB,Execution Status,Defect ID,Defect Description,Defect Type,Defect Status,Severity,Priority
15/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
16/12/24,Global Nav,TC_001,M&R,Pass,,,,,High,P2
17/12/24,Global Nav,TC_001,M&R,Pass,,,,,Medium,P3
18/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
19/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
20/12/24,Global Nav,TC_001,M&R,Pass,,,,,Medium,P3
21/12/24,Global Nav,TC_001,M&R,Fail,D_1949,Automation Script Issue detected in M&R module.,Automation,Open,,
22/12/24,Global Nav,TC_001,M&R,Fail,D_1750,Test Data Issue detected in M&R module.,Automation,Open,Medium,P3
23/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
24/12/24,Global Nav,TC_001,M&R,Pass,,,,,Critical,P4
25/12/24,Global Nav,TC_001,M&R,Fail,D_1745,Environment Issue detected in M&R module.,Manual,Closed,Critical,P4
26/12/24,Global Nav,TC_001,M&R,Pass,,,,,Medium,P4
27/12/24,Global Nav,TC_001,M&R,Pass,,,,,High,P2
28/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
29/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
30/12/24,Global Nav,TC_001,M&R,Pass,,,,,,
31/12/24,Global Nav,TC_001,M&R,Fail,D_1052,Test Data Issue detected in M&R module.,Manual,Closed,High,P2
01/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
02/01/25,Global Nav,TC_001,M&R,Fail,D_1474,Automation Script Issue detected in M&R module.,Manual,Closed,Critical,P1
03/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
04/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
05/01/25,Global Nav,TC_001,M&R,Fail,D_1247,Environment Issue detected in M&R module.,Automation,In Progress,,
06/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
07/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
08/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
09/01/25,Global Nav,TC_001,M&R,Fail,D_1671,Requirement Gap detected in M&R module.,Manual,Closed,,
10/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
11/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
12/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
13/01/25,Global Nav,TC_001,M&R,Fail,D_1826,Automation Script Issue detected in M&R module.,Automation,In Progress,High,P2
14/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
15/01/25,Global Nav,TC_001,M&R,Fail,D_1210,Code Issue detected in M&R module.,Manual,In Progress,High,P2
16/01/25,Global Nav,TC_001,M&R,Fail,D_1545,Test Data Issue detected in M&R module.,Automation,In Progress,High,P2
17/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
18/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
19/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
20/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
21/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
22/01/25,Global Nav,TC_001,M&R,Fail,D_1505,Requirement Gap detected in M&R module.,Automation,Open,,
23/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
24/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
25/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
26/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
27/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
28/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
29/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
30/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
31/01/25,Global Nav,TC_001,M&R,Pass,,,,,,
01/02/25,Global Nav,TC_001,M&R,Fail,D_1586,Code Issue detected in M&R module.,Manual,Open,Medium,P4
02/02/25,Global Nav,TC_001,M&R,Fail,D_1188,Requirement Gap detected in M&R module.,Automation,In Progress,Medium,P4
03/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
