Execution Date,User Story,Test Case ID,LOB,Execution Status,Defect ID,Defect Description,Defect Type,Defect Status,Test Case Name,Severity,Priority
2024-12-15,Global Nav,TC_001,M&R,Pass,D4279,Issue with ui element issue in C&I,Environment,Closed,Test Case 58,Medium,P4
2024-12-16,Global Nav,TC_001,M&R,Pass,D4727,Issue with environment in E&I,Environment,Closed,Test Case 44,Medium,P1
2024-12-17,Global Nav,TC_001,M&R,Pass,D8281,Issue with environment in E&I,Environment,Closed,Test Case 63,High,P1
2024-12-18,Global Nav,TC_001,M&R,Pass,D3213,Issue with environment in E&I,Environment,Open,Test Case 42,Critical,P4
2024-12-19,Global Nav,TC_001,M&R,Pass,D8415,Issue with ui element issue in M&R,UI Element Issue,Open,Test Case 11,Medium,P3
2024-12-20,Global Nav,TC_001,M&R,Pass,D3460,Issue with data issue in E&I,Data Issue,Open,Test Case 6,High,P2
2024-12-21,Global Nav,TC_001,M&R,Fail,D_1949,Automation Script Issue detected in M&R module.,Automation,Open,Test Case 35,Critical,P2
2024-12-22,Global Nav,TC_001,M&R,Fail,D_1750,Test Data Issue detected in M&R module.,Automation,Open,Test Case 49,High,P4
2024-12-23,Global Nav,TC_001,M&R,Pass,D1373,Issue with environment in E&I,Environment,In Progress,Test Case 117,Critical,P3
2024-12-24,Global Nav,TC_001,M&R,Pass,D8789,Issue with environment in M&R,Environment,In Progress,Test Case 77,Medium,P4
2024-12-25,Global Nav,TC_001,M&R,Fail,D_1745,Environment Issue detected in M&R module.,Manual,Closed,Test Case 53,Critical,P4
2024-12-26,Global Nav,TC_001,M&R,Pass,D8392,Issue with environment in M&R,Data Issue,Open,Test Case 90,Medium,P3
2024-12-27,Global Nav,TC_001,M&R,Pass,D5257,Issue with environment in M&R,UI Element Issue,In Progress,Test Case 110,Critical,P4
2024-12-28,Global Nav,TC_001,M&R,Pass,D4204,Issue with ui element issue in C&I,Environment,In Progress,Test Case 23,Critical,P1
2024-12-29,Global Nav,TC_001,M&R,Pass,D8281,Issue with environment in E&I,Environment,Open,Test Case 32,High,P2
2024-12-30,Global Nav,TC_001,M&R,Pass,D1373,Issue with environment in C&I,Environment,Closed,Test Case 7,Medium,P3
2024-12-31,Global Nav,TC_001,M&R,Fail,D_1052,Test Data Issue detected in M&R module.,Manual,Closed,Test Case 27,Critical,P1
2025-01-01,Global Nav,TC_001,M&R,Pass,D8893,Issue with ui element issue in C&I,Environment,In Progress,Test Case 15,High,P1
2025-01-02,Global Nav,TC_001,M&R,Fail,D_1474,Automation Script Issue detected in M&R module.,Manual,Closed,Test Case 1,Medium,P3
2025-01-03,Global Nav,TC_001,M&R,Pass,D9185,Issue with environment in M&R,UI Element Issue,Open,Test Case 74,Medium,P2
2025-01-04,Global Nav,TC_001,M&R,Pass,D5537,Issue with environment in E&I,Environment,In Progress,Test Case 99,High,P1
2025-01-05,Global Nav,TC_001,M&R,Fail,D_1247,Environment Issue detected in M&R module.,Automation,In Progress,Test Case 20,Critical,P1
2025-01-06,Global Nav,TC_001,M&R,Pass,D6606,Issue with ui element issue in C&I,UI Element Issue,Open,Test Case 38,Critical,P2
2025-01-07,Global Nav,TC_001,M&R,Pass,D1373,Issue with ui element issue in E&I,Data Issue,Open,Test Case 101,Critical,P3
2025-01-08,Global Nav,TC_001,M&R,Pass,D6619,Issue with environment in C&I,UI Element Issue,In Progress,Test Case 9,Medium,P4
2025-01-09,Global Nav,TC_001,M&R,Fail,D_1671,Requirement Gap detected in M&R module.,Manual,Closed,Test Case 93,Medium,P3
2025-01-10,Global Nav,TC_001,M&R,Pass,D5537,Issue with ui element issue in M&R,UI Element Issue,In Progress,Test Case 104,High,P2
